PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 555780254, 0.42591083, 0.6289448, -0.12442064, 0.6383948
2, 555796921, 0.42642355, 0.6289633, -0.12368159, 0.638178
3, 555813588, 0.42659852, 0.6289039, -0.12355793, 0.63814354
4, 555830255, 0.42668122, 0.62873596, -0.123654515, 0.638235
5, 555846922, 0.42684308, 0.62844384, -0.12349588, 0.63844514
6, 555863589, 0.42702794, 0.62803406, -0.12348285, 0.63872737
7, 555880256, 0.4271819, 0.6276085, -0.12354525, 0.6390304
8, 555896923, 0.4271727, 0.62723607, -0.12348523, 0.6394137
9, 555913590, 0.42719597, 0.626879, -0.123393774, 0.6397659
10, 555930257, 0.42719212, 0.6265774, -0.12318616, 0.6401039
11, 555946924, 0.42718723, 0.62627697, -0.122987725, 0.6404393
12, 555963591, 0.42728406, 0.6259684, -0.12280973, 0.64071035
13, 555980258, 0.42734805, 0.6257261, -0.12254708, 0.6409547
14, 555996925, 0.42738318, 0.6254966, -0.12228401, 0.64120543
15, 556013592, 0.42732844, 0.62530696, -0.12195417, 0.64148957
16, 556030259, 0.42739612, 0.62508965, -0.12174433, 0.641696
17, 556046926, 0.42738402, 0.6249193, -0.12136764, 0.6419414
18, 556063593, 0.4273892, 0.62474847, -0.12097208, 0.64217883
19, 556080260, 0.4274738, 0.6246013, -0.12064062, 0.64232796
20, 556096927, 0.42752028, 0.62447655, -0.12024445, 0.6424926
21, 556113594, 0.42747828, 0.624415, -0.11979229, 0.6426648
22, 556130261, 0.42734247, 0.6243888, -0.11927745, 0.6428763
23, 556146928, 0.42723733, 0.62438697, -0.11875786, 0.6430442
24, 556163595, 0.42704746, 0.6244282, -0.118164755, 0.64323956
25, 556180262, 0.4267671, 0.62450844, -0.11754209, 0.6434618
26, 556196929, 0.42656258, 0.6246005, -0.116925076, 0.64362025
27, 556213596, 0.42628706, 0.62470776, -0.11624912, 0.6438212
28, 556230263, 0.42617345, 0.62478244, -0.11575133, 0.6439138
29, 556246930, 0.42603394, 0.62488043, -0.1152063, 0.64400876
30, 556263597, 0.4258921, 0.62497824, -0.11464165, 0.64410836
31, 556280264, 0.42585492, 0.6249359, -0.11451568, 0.64419633
32, 556296931, 0.4257284, 0.62503886, -0.114130154, 0.6442484
33, 556313598, 0.42564628, 0.62508386, -0.11389695, 0.64430046
34, 556330265, 0.4256112, 0.6252193, -0.113509275, 0.64426064
35, 556346932, 0.42558458, 0.6253033, -0.11317755, 0.6442551
36, 556363599, 0.4255376, 0.6253441, -0.11309009, 0.64426166
37, 556380266, 0.42553237, 0.6253951, -0.11305992, 0.6442209
38, 556396933, 0.42547938, 0.62542003, -0.11310774, 0.64422345
39, 556413600, 0.42538545, 0.6254301, -0.11312818, 0.644272
40, 556430267, 0.42524827, 0.6254758, -0.11313752, 0.6443166
41, 556446934, 0.42517826, 0.6255546, -0.11317133, 0.6442804
42, 556463601, 0.42509276, 0.62569267, -0.11315336, 0.64420587
43, 556480268, 0.42502993, 0.62586373, -0.113117546, 0.6440876
44, 556496935, 0.424941, 0.62602293, -0.1130954, 0.6439952
45, 556513602, 0.4249138, 0.626139, -0.11316956, 0.6438874
46, 556530269, 0.42480892, 0.62621564, -0.11320894, 0.6438751
47, 556546936, 0.42471913, 0.6262784, -0.11328855, 0.64385945
48, 556563603, 0.4246706, 0.626356, -0.113340296, 0.6438068
49, 556580270, 0.42468718, 0.6263993, -0.11345912, 0.6437327
50, 556596937, 0.42453736, 0.6265743, -0.11328418, 0.6436922
51, 556613604, 0.42449206, 0.62668353, -0.11330281, 0.64361227
52, 556630271, 0.42441645, 0.6268117, -0.11339456, 0.6435212
53, 556646938, 0.42424682, 0.62700814, -0.11333598, 0.6434521
54, 556663605, 0.42412737, 0.62713546, -0.113491006, 0.6433793
55, 556680272, 0.424057, 0.62725955, -0.11370017, 0.6432678
56, 556696939, 0.4239526, 0.6274149, -0.1137438, 0.64317745
57, 556713606, 0.42385256, 0.6276082, -0.11378767, 0.643047
58, 556730273, 0.42384157, 0.6277731, -0.11387694, 0.6428775
59, 556746940, 0.42380053, 0.62795854, -0.11387094, 0.6427244
60, 556763607, 0.42382264, 0.628071, -0.114071354, 0.6425644
61, 556780274, 0.4238093, 0.62816983, -0.11428316, 0.642439
62, 556796941, 0.4237608, 0.6282792, -0.114343554, 0.6423533
63, 556813608, 0.42373398, 0.6283665, -0.11444533, 0.64226735
64, 556830275, 0.42378473, 0.62845856, -0.11456914, 0.6421217
65, 556846942, 0.42383966, 0.62856156, -0.11466785, 0.641967
66, 556863609, 0.42388248, 0.62865555, -0.11485445, 0.6418134
67, 556880276, 0.42391747, 0.628764, -0.11507207, 0.641645
68, 556896943, 0.42401463, 0.62888014, -0.11520329, 0.64144343
69, 556913610, 0.42425916, 0.6289417, -0.115445614, 0.6411777
70, 556930277, 0.4244499, 0.6290265, -0.1155361, 0.6409521
71, 556946944, 0.42471245, 0.629067, -0.1156739, 0.64071345
72, 556963611, 0.42491344, 0.6290824, -0.115791135, 0.64054394
73, 556980278, 0.4250609, 0.62911534, -0.11585881, 0.6404014
74, 556996945, 0.42522183, 0.62911576, -0.115964115, 0.64027506
75, 557013612, 0.42532417, 0.6291518, -0.11602654, 0.6401603
76, 557030279, 0.42535672, 0.6292528, -0.1159225, 0.6400583
77, 557046946, 0.42548686, 0.62929493, -0.11597923, 0.6399201
78, 557063613, 0.425595, 0.6293426, -0.11605611, 0.6397874
79, 557080280, 0.4256984, 0.6293901, -0.11612478, 0.6396594
80, 557096947, 0.4259472, 0.6293935, -0.11633159, 0.63945276
81, 557113614, 0.4260719, 0.62943727, -0.11640379, 0.63931346
82, 557130281, 0.4264238, 0.6293265, -0.11693224, 0.6390914
83, 557146948, 0.42675325, 0.6293045, -0.11722018, 0.6388403
84, 557163615, 0.42714828, 0.6292402, -0.11752058, 0.63858455
85, 557180282, 0.42767876, 0.6291057, -0.1179441, 0.63828367
86, 557196949, 0.4281629, 0.628972, -0.118238926, 0.63803613
87, 557213616, 0.42854744, 0.6287838, -0.11863284, 0.63789064
88, 557230283, 0.42910397, 0.6284778, -0.11932548, 0.6376889
89, 557246950, 0.42960215, 0.62821585, -0.11987339, 0.63750875
90, 557263617, 0.4300215, 0.62793744, -0.12032247, 0.6374157
91, 557280284, 0.43047374, 0.627617, -0.120917335, 0.6373134
92, 557296951, 0.43086064, 0.627328, -0.12137509, 0.6372496
93, 557313618, 0.43128052, 0.6270468, -0.12184429, 0.63715255
94, 557330285, 0.43162906, 0.62679535, -0.122350074, 0.637067
95, 557346952, 0.43194994, 0.62660336, -0.122734256, 0.6369646
96, 557363619, 0.43226188, 0.62638915, -0.123175606, 0.63687843
97, 557380286, 0.43246526, 0.62623084, -0.12347761, 0.6368375
98, 557396953, 0.43271598, 0.6260136, -0.12392409, 0.63679427
99, 557413620, 0.43288952, 0.62590426, -0.12416721, 0.63673633
100, 557430287, 0.433032, 0.62580884, -0.12431144, 0.636705
101, 557446954, 0.43307126, 0.6256828, -0.12444876, 0.63677543
102, 557463621, 0.43322393, 0.62549967, -0.12475675, 0.6367912
103, 557480288, 0.43336663, 0.6253493, -0.12491722, 0.63681036
104, 557496955, 0.43349904, 0.6251431, -0.12521112, 0.63686496
