PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 555844853, 0.37672353, 0.43318513, -0.50025463, 0.6482093
2, 555861520, 0.3772036, 0.4328034, -0.50022537, 0.6482077
3, 555878187, 0.37735668, 0.43245223, -0.49993595, 0.6485763
4, 555894854, 0.37743506, 0.43192998, -0.49981537, 0.6489716
5, 555911521, 0.37734926, 0.431325, -0.49983075, 0.6494116
6, 555928188, 0.3773974, 0.4307236, -0.49982324, 0.6497887
7, 555944855, 0.37732196, 0.4302738, -0.49978334, 0.650161
8, 555961522, 0.377155, 0.42987567, -0.4997978, 0.65051
9, 555978189, 0.37700045, 0.42955565, -0.49977472, 0.6508286
10, 555994856, 0.3768634, 0.42928007, -0.49970695, 0.6511418
11, 556011523, 0.3767924, 0.42903998, -0.49957755, 0.6514404
12, 556028190, 0.3766941, 0.42889684, -0.4993707, 0.6517501
13, 556044857, 0.37676203, 0.42866963, -0.49924362, 0.6519576
14, 556061524, 0.37685812, 0.42848232, -0.49904028, 0.65218073
15, 556078191, 0.37696955, 0.4282967, -0.4988367, 0.65239406
16, 556094858, 0.377007, 0.42813066, -0.49861333, 0.65265214
17, 556111525, 0.37703028, 0.4280057, -0.4983475, 0.6529234
18, 556128192, 0.3769863, 0.42799184, -0.49801683, 0.65321034
19, 556144859, 0.37694675, 0.42806563, -0.49766886, 0.6534499
20, 556161526, 0.37682053, 0.42817718, -0.49731857, 0.6537163
21, 556178193, 0.37665957, 0.42839754, -0.496891, 0.6539897
22, 556194860, 0.3764314, 0.4287066, -0.49646756, 0.6542402
23, 556211527, 0.3761991, 0.42908424, -0.49603316, 0.65445566
24, 556228194, 0.37593353, 0.42949304, -0.49559015, 0.6546758
25, 556244861, 0.3757554, 0.42982733, -0.49521485, 0.65484256
26, 556261528, 0.3755867, 0.4301559, -0.4948423, 0.6550053
27, 556278195, 0.3754355, 0.43044022, -0.49447584, 0.65518194
28, 556294862, 0.37529808, 0.430644, -0.49417946, 0.6553502
29, 556311529, 0.37513068, 0.43090117, -0.493846, 0.6555285
30, 556328196, 0.37505582, 0.43112895, -0.49366036, 0.65556127
31, 556344863, 0.37502402, 0.43124893, -0.49347058, 0.6556433
32, 556361530, 0.37498102, 0.43146262, -0.49315363, 0.65576583
33, 556378197, 0.37502682, 0.43156764, -0.4929964, 0.65578884
34, 556394864, 0.37499282, 0.43174073, -0.49288002, 0.6557817
35, 556411531, 0.37492707, 0.4318744, -0.49282974, 0.65576905
36, 556428198, 0.37484923, 0.43195462, -0.49283597, 0.6557561
37, 556444865, 0.37483656, 0.4319776, -0.4928745, 0.65571934
38, 556461532, 0.3747942, 0.43202078, -0.49289352, 0.6557006
39, 556478199, 0.37475428, 0.43212795, -0.49292773, 0.65562713
40, 556494866, 0.37469682, 0.43226695, -0.4930385, 0.6554851
41, 556511533, 0.3746235, 0.4324619, -0.49309906, 0.6553529
42, 556528200, 0.37463552, 0.432597, -0.4931781, 0.6551974
43, 556544867, 0.37478364, 0.4326908, -0.49321264, 0.6550246
44, 556561534, 0.3749506, 0.43276244, -0.4932211, 0.6548754
45, 556578201, 0.37511447, 0.43280426, -0.49326497, 0.6547209
46, 556594868, 0.37528977, 0.43279698, -0.49331105, 0.6545906
47, 556611535, 0.375439, 0.43290302, -0.4932588, 0.65447414
48, 556628202, 0.37562233, 0.43296933, -0.49335748, 0.6542507
49, 556644869, 0.37578192, 0.43304956, -0.4934703, 0.65402085
50, 556661536, 0.37593693, 0.43316722, -0.49352545, 0.65381205
51, 556678203, 0.37611824, 0.4332783, -0.4936237, 0.65355986
52, 556694870, 0.37637815, 0.43334615, -0.49373165, 0.6532839
53, 556711537, 0.3765764, 0.43345493, -0.49378532, 0.6530566
54, 556728204, 0.37676358, 0.43355042, -0.49387804, 0.6528152
55, 556744871, 0.37697867, 0.43362847, -0.49404135, 0.65251553
56, 556761538, 0.37714955, 0.43373638, -0.49418634, 0.65223527
57, 556778205, 0.37735838, 0.43377873, -0.49435472, 0.6519588
58, 556794872, 0.37758946, 0.43378997, -0.49448624, 0.65171766
59, 556811539, 0.37788153, 0.43375808, -0.49463904, 0.6514536
60, 556828206, 0.37812337, 0.4337529, -0.49478933, 0.6512025
61, 556844873, 0.37826538, 0.4337788, -0.49493924, 0.6509889
62, 556861540, 0.3783889, 0.43377352, -0.49514067, 0.6507674
63, 556878207, 0.37852076, 0.43379477, -0.49530947, 0.6505482
64, 556894874, 0.3786693, 0.43377933, -0.4955091, 0.6503198
65, 556911541, 0.37883186, 0.4337995, -0.49569163, 0.6500727
66, 556928208, 0.37894198, 0.4338402, -0.49583942, 0.64986855
67, 556944875, 0.3790063, 0.43385884, -0.49598524, 0.64970726
68, 556961542, 0.37903622, 0.4339344, -0.496059, 0.64958304
69, 556978209, 0.37909526, 0.4339738, -0.49616897, 0.64943826
70, 556994876, 0.37911624, 0.43411085, -0.49619225, 0.6493166
71, 557011543, 0.3791598, 0.43418008, -0.49626312, 0.64919066
72, 557028210, 0.37931338, 0.43422335, -0.4963498, 0.6490058
73, 557044877, 0.37935668, 0.43435696, -0.49639687, 0.6488549
74, 557061544, 0.37935618, 0.43442056, -0.49654227, 0.64870137
75, 557078211, 0.37934884, 0.43447247, -0.49665257, 0.64858645
76, 557094878, 0.37941316, 0.43449742, -0.4967709, 0.64844155
77, 557111545, 0.37951237, 0.43446895, -0.49693018, 0.64828056
78, 557128212, 0.3796327, 0.43439814, -0.49709266, 0.64813286
79, 557144879, 0.37981144, 0.4342169, -0.4973042, 0.64798725
80, 557161546, 0.38001063, 0.4340267, -0.49750394, 0.6478446
81, 557178213, 0.3802309, 0.43382293, -0.49774772, 0.6476646
82, 557194880, 0.3804849, 0.43346164, -0.4980421, 0.647531
83, 557211547, 0.38080272, 0.43307433, -0.49821126, 0.6474732
84, 557228214, 0.38122386, 0.43255758, -0.49846458, 0.64737594
85, 557244881, 0.38155696, 0.4320522, -0.4987866, 0.6472691
86, 557261548, 0.3817563, 0.43156773, -0.49912927, 0.6472104
87, 557278215, 0.38194692, 0.43107074, -0.49947974, 0.6471591
88, 557294882, 0.3821854, 0.43054304, -0.49982324, 0.6471042
89, 557311549, 0.3823828, 0.43000278, -0.5001375, 0.6471041
90, 557328216, 0.38247892, 0.4295034, -0.5004479, 0.6471388
91, 557344883, 0.38253406, 0.42906323, -0.5007817, 0.6471399
92, 557361550, 0.3825588, 0.4287075, -0.50110203, 0.6471131
93, 557378217, 0.38247138, 0.42850056, -0.5013185, 0.64713424
94, 557394884, 0.3824894, 0.42828292, -0.5015507, 0.64708793
95, 557411551, 0.38246897, 0.4280927, -0.50175875, 0.64706445
96, 557428218, 0.38241327, 0.42794454, -0.5019591, 0.64704
97, 557444885, 0.38232064, 0.42780566, -0.5021716, 0.64702183
98, 557461552, 0.38217455, 0.4277687, -0.50224304, 0.64707696
99, 557478219, 0.38211647, 0.42760915, -0.5024105, 0.6470866
100, 557494886, 0.38204136, 0.42742708, -0.5025338, 0.6471556
101, 557511553, 0.38199672, 0.42720488, -0.5026844, 0.6472118
102, 557528220, 0.3819444, 0.42694512, -0.5028505, 0.64728516
103, 557544887, 0.38186446, 0.4266937, -0.5030057, 0.6473774
104, 557561554, 0.38187894, 0.42641255, -0.50315285, 0.64743966
105, 557578221, 0.3819436, 0.4260597, -0.5033721, 0.6474634
106, 557594888, 0.38202012, 0.42565212, -0.5036175, 0.64749557
107, 557611555, 0.3820804, 0.42525434, -0.50384194, 0.64754647
108, 557628222, 0.38213018, 0.4248419, -0.5040839, 0.6475997
109, 557644889, 0.38210475, 0.42453268, -0.5042919, 0.6476556
110, 557661556, 0.38203555, 0.42429408, -0.5044725, 0.64771223
111, 557678223, 0.381978, 0.4241424, -0.5046035, 0.6477432
112, 557694890, 0.38185742, 0.42407316, -0.50471693, 0.6477715
113, 557711557, 0.38167176, 0.42406955, -0.50478536, 0.6478298
114, 557728224, 0.38150027, 0.42407268, -0.5048537, 0.6478754
115, 557744891, 0.3813133, 0.42410904, -0.5048791, 0.64794207
116, 557761558, 0.38118747, 0.42415702, -0.50488305, 0.64798146
117, 557778225, 0.38103926, 0.4242509, -0.5048491, 0.6480338
118, 557794892, 0.38093764, 0.42437467, -0.50478965, 0.6480588
119, 557811559, 0.38077146, 0.42452422, -0.5047289, 0.6481057
120, 557828226, 0.38055742, 0.4247236, -0.50465953, 0.64815503
121, 557844893, 0.38034514, 0.42494187, -0.5045617, 0.6482127
122, 557861560, 0.38022754, 0.42515197, -0.5044517, 0.64822966
123, 557878227, 0.38006535, 0.42539805, -0.50433415, 0.6482544
124, 557894894, 0.37989742, 0.42563424, -0.5042404, 0.6482707
125, 557911561, 0.37975582, 0.4258593, -0.5041274, 0.64829385
126, 557928228, 0.37961292, 0.4260408, -0.5040217, 0.64834046
127, 557944895, 0.37943065, 0.42628407, -0.5038772, 0.64839965
128, 557961562, 0.37933418, 0.42645812, -0.50379443, 0.648406
129, 557978229, 0.3792415, 0.42659938, -0.50365716, 0.6484741
130, 557994896, 0.37913284, 0.4267567, -0.50350183, 0.6485546
131, 558011563, 0.3790929, 0.42690504, -0.50337774, 0.6485768
132, 558028230, 0.37913206, 0.42697006, -0.5033279, 0.6485496
133, 558044897, 0.37918502, 0.4270678, -0.5031718, 0.64857554
134, 558061564, 0.3792925, 0.4271328, -0.5030338, 0.648577
135, 558078231, 0.37934193, 0.42714578, -0.5030145, 0.6485543
136, 558094898, 0.3793441, 0.4272118, -0.502977, 0.64853865
137, 558111565, 0.37929538, 0.42726603, -0.50295234, 0.64855057
138, 558128232, 0.3793038, 0.42727804, -0.5029707, 0.64852345
139, 558144899, 0.37930718, 0.4272817, -0.502991, 0.64850324
140, 558161566, 0.37931147, 0.4273163, -0.50298804, 0.6484805
141, 558178233, 0.37935412, 0.42734334, -0.5029661, 0.64845455
142, 558194900, 0.37935495, 0.42737848, -0.50292856, 0.6484601
143, 558211567, 0.3793816, 0.42735052, -0.502917, 0.6484719
144, 558228234, 0.3794216, 0.42733222, -0.50289625, 0.64847666
145, 558244901, 0.37945527, 0.42730317, -0.50289625, 0.648476
146, 558261568, 0.37948427, 0.4272839, -0.5028973, 0.6484709
147, 558278235, 0.37948674, 0.42727917, -0.50286543, 0.64849734
148, 558294902, 0.37948358, 0.4272975, -0.50277454, 0.6485576
149, 558311569, 0.37948927, 0.42735666, -0.5026231, 0.64863276
150, 558328236, 0.3794196, 0.427374, -0.50252837, 0.6487353
151, 558344903, 0.37931016, 0.42740312, -0.5024097, 0.64887196
152, 558361570, 0.37917596, 0.42743567, -0.5023199, 0.6489987
153, 558378237, 0.3790494, 0.42748404, -0.5022474, 0.64909685
154, 558394904, 0.37897828, 0.42749473, -0.502184, 0.64918035
155, 558411571, 0.37895495, 0.42746437, -0.5021039, 0.64927584
156, 558428238, 0.37894878, 0.42738837, -0.5020376, 0.6493808
157, 558444905, 0.37895995, 0.42729965, -0.5019559, 0.6494958
158, 558461572, 0.3789793, 0.42719802, -0.5018894, 0.6496027
159, 558478239, 0.37897068, 0.4270863, -0.50183785, 0.64972115
160, 558494906, 0.378936, 0.42699876, -0.50179535, 0.64983165
161, 558511573, 0.3788889, 0.42695433, -0.50174326, 0.64992845
162, 558528240, 0.37882587, 0.42693818, -0.5016754, 0.6500282
163, 558544907, 0.37881067, 0.4269146, -0.50159717, 0.6501129
164, 558561574, 0.37876916, 0.4268757, -0.5015293, 0.6502149
165, 558578241, 0.37871593, 0.42680883, -0.50147706, 0.65033007
166, 558594908, 0.3786623, 0.42677277, -0.5014252, 0.65042496
167, 558611575, 0.37859988, 0.42673954, -0.5014072, 0.650497
168, 558628242, 0.37859905, 0.42668328, -0.5013987, 0.65054095
169, 558644909, 0.37867975, 0.4266114, -0.501365, 0.6505671
170, 558661576, 0.3787937, 0.42650256, -0.50135106, 0.65058285
171, 558678243, 0.37889805, 0.42639372, -0.50133955, 0.65060234
172, 558694910, 0.37897468, 0.42633167, -0.50133294, 0.6506036
173, 558711577, 0.37906498, 0.4262562, -0.5013625, 0.65057755
174, 558728244, 0.37918428, 0.42622268, -0.5013962, 0.650504
175, 558744911, 0.37927508, 0.42625475, -0.5013934, 0.6504322
176, 558761578, 0.37936282, 0.42629454, -0.5013874, 0.6503597
177, 558778245, 0.37948057, 0.426339, -0.50136876, 0.6502761
178, 558794912, 0.37959477, 0.42636323, -0.50137264, 0.6501905
179, 558811579, 0.37969914, 0.42640433, -0.5013854, 0.6500928
180, 558828246, 0.37973452, 0.42643833, -0.5013917, 0.65004486
181, 558844913, 0.37973636, 0.42649287, -0.501379, 0.650018
182, 558861580, 0.37978166, 0.42657793, -0.50136995, 0.64994276
183, 558878247, 0.3798777, 0.42660457, -0.5013815, 0.64986
184, 558894914, 0.3800531, 0.42654702, -0.5013586, 0.649813
185, 558911581, 0.38026288, 0.42650107, -0.501256, 0.64979964
186, 558928248, 0.38042283, 0.4264095, -0.5013009, 0.6497315
187, 558944915, 0.38046688, 0.42637923, -0.5013593, 0.64968055
188, 558961582, 0.3804821, 0.42638043, -0.50139725, 0.64964145
189, 558978249, 0.38048625, 0.4264047, -0.5014107, 0.64961267
190, 558994916, 0.38054264, 0.42641163, -0.50139946, 0.6495839
191, 559011583, 0.3805729, 0.42643902, -0.50136364, 0.64957577
192, 559028250, 0.38061848, 0.42643812, -0.50135577, 0.64955574
193, 559044917, 0.380622, 0.42642608, -0.5014075, 0.6495215
194, 559061584, 0.38062346, 0.42646822, -0.5014251, 0.6494794
195, 559078251, 0.38067272, 0.426495, -0.50143707, 0.6494237
196, 559094918, 0.38075203, 0.4265233, -0.50143075, 0.6493635
197, 559111585, 0.38086, 0.42656714, -0.5014211, 0.6492789
198, 559128252, 0.38087788, 0.4266188, -0.50140387, 0.6492478
199, 559144919, 0.38086444, 0.42671278, -0.501356, 0.6492309
200, 559161586, 0.3808314, 0.4267753, -0.5013875, 0.6491848
201, 559178253, 0.38073394, 0.4268952, -0.5013917, 0.6491599
202, 559194920, 0.38066474, 0.42695728, -0.50142443, 0.6491344
203, 559211587, 0.38061053, 0.427017, -0.50142163, 0.64912903
204, 559228254, 0.3805804, 0.42705286, -0.50142735, 0.64911866
205, 559244921, 0.38048652, 0.42711723, -0.5014122, 0.64914304
206, 559261588, 0.38040164, 0.42714027, -0.5014245, 0.6491682
207, 559278255, 0.38028318, 0.42715618, -0.5014393, 0.64921576
208, 559294922, 0.38020444, 0.42714658, -0.5014934, 0.64922625
209, 559311589, 0.38009346, 0.42715463, -0.50153995, 0.64925015
