PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
91, 557267228, 0.5008988, 0.4967214, -0.3682673, 0.6055969
92, 557283895, 0.501184, 0.49636087, -0.36866236, 0.6054163
93, 557300562, 0.501523, 0.49589315, -0.36914742, 0.60522324
94, 557317229, 0.50195265, 0.4952119, -0.36950308, 0.6052077
95, 557333896, 0.50226533, 0.49468744, -0.3697911, 0.60520136
96, 557350563, 0.50236726, 0.49442518, -0.370089, 0.6051488
97, 557367230, 0.5024801, 0.49414366, -0.3703696, 0.60511345
98, 557383897, 0.50270295, 0.49373075, -0.37060773, 0.60511965
99, 557400564, 0.50283754, 0.49343053, -0.37082702, 0.60511816
100, 557417231, 0.50278777, 0.49334234, -0.3712661, 0.6049624
101, 557433898, 0.5031335, 0.49278322, -0.37175718, 0.6048291
102, 557450565, 0.5035826, 0.4921344, -0.3720513, 0.60480267
103, 557467232, 0.5038, 0.49179384, -0.37236708, 0.6047043
104, 557483899, 0.50387925, 0.4915668, -0.37272832, 0.6046002
105, 557500566, 0.50412154, 0.4911411, -0.37311164, 0.6045077
106, 557517233, 0.5043476, 0.49071348, -0.373441, 0.60446316
107, 557533900, 0.50460863, 0.4902896, -0.3738184, 0.604356
108, 557550567, 0.50477624, 0.4899788, -0.3741901, 0.60423815
109, 557567234, 0.5050132, 0.489586, -0.37465328, 0.6040713
110, 557583901, 0.50522405, 0.48917446, -0.3749157, 0.6040658
111, 557600568, 0.5053427, 0.4887956, -0.37495476, 0.60424894
112, 557617235, 0.50553334, 0.48836395, -0.37522095, 0.60427326
113, 557633902, 0.5055082, 0.48818472, -0.37545845, 0.6042913
114, 557650569, 0.5054634, 0.4880136, -0.37557846, 0.60439265
115, 557667236, 0.5055392, 0.48774615, -0.3758365, 0.6043847
116, 557683903, 0.5057318, 0.48736465, -0.376235, 0.6042833
117, 557700570, 0.5058442, 0.48709205, -0.37652025, 0.6042314
118, 557717237, 0.50587654, 0.48691875, -0.3766738, 0.60424834
119, 557733904, 0.505852, 0.4868596, -0.37686104, 0.60419965
120, 557750571, 0.5057949, 0.48684907, -0.37691313, 0.6042236
121, 557767238, 0.505683, 0.48692656, -0.3768825, 0.6042738
122, 557783905, 0.5055507, 0.48705408, -0.3768253, 0.6043175
123, 557800572, 0.5053003, 0.4872921, -0.376572, 0.60449284
124, 557817239, 0.5051345, 0.48747993, -0.3764047, 0.60458434
125, 557833906, 0.50481755, 0.48788375, -0.37613142, 0.60469335
126, 557850573, 0.5045058, 0.4882767, -0.3758654, 0.60480183
127, 557867240, 0.50428265, 0.48852664, -0.3756504, 0.6049196
128, 557883907, 0.50398105, 0.48885667, -0.3754, 0.6050596
129, 557900574, 0.5036033, 0.48929211, -0.37513962, 0.6051839
130, 557917241, 0.5033365, 0.48957217, -0.3747798, 0.6054021
131, 557933908, 0.5030963, 0.48978508, -0.37435102, 0.60569465
132, 557950575, 0.50273454, 0.4901695, -0.37412205, 0.6058257
133, 557967242, 0.5026769, 0.4903367, -0.37383485, 0.6059154
134, 557983909, 0.5026024, 0.49051058, -0.37351888, 0.60603136
135, 558000576, 0.50230205, 0.4908505, -0.3732179, 0.6061907
136, 558017243, 0.501893, 0.49134022, -0.372907, 0.6063238
137, 558033910, 0.5020943, 0.49122044, -0.37279528, 0.60632306
138, 558050577, 0.5023937, 0.4910575, -0.37273458, 0.60624427
139, 558067244, 0.502323, 0.49119756, -0.372695, 0.60621375
140, 558083911, 0.50211406, 0.4913587, -0.37270314, 0.6062513
141, 558100578, 0.5021547, 0.4912625, -0.37274325, 0.606271
142, 558117245, 0.5021634, 0.4912722, -0.37280655, 0.6062169
143, 558133912, 0.5021659, 0.4913043, -0.37279844, 0.6061938
