PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 555785626, 0.37806448, 0.6027934, -0.3009654, 0.63492304
2, 555802293, 0.37812686, 0.60277706, -0.30064407, 0.63505363
3, 555818960, 0.3784701, 0.60258627, -0.30034018, 0.6351741
4, 555835627, 0.37866518, 0.6026152, -0.29998013, 0.6352005
5, 555852294, 0.3788743, 0.60269946, -0.2996837, 0.63513577
6, 555868961, 0.37905535, 0.6028399, -0.2993182, 0.6350667
7, 555885628, 0.37920952, 0.60297006, -0.29903778, 0.63498324
8, 555902295, 0.37934524, 0.6030356, -0.29878855, 0.63495725
9, 555918962, 0.37946254, 0.6031171, -0.29861793, 0.6348901
10, 555935629, 0.3796496, 0.6031101, -0.29846933, 0.6348547
11, 555952296, 0.37993246, 0.6030523, -0.29827797, 0.63483036
12, 555968963, 0.38022742, 0.602977, -0.29804614, 0.6348343
13, 555985630, 0.3805093, 0.6029248, -0.29779905, 0.6348308
14, 556002297, 0.3807619, 0.60291797, -0.29754633, 0.6348045
15, 556018964, 0.38098153, 0.6028982, -0.29720968, 0.6348491
16, 556035631, 0.38118616, 0.6028638, -0.29683483, 0.6349344
17, 556052298, 0.38135043, 0.6029487, -0.29642922, 0.63494456
18, 556068965, 0.38150418, 0.603048, -0.29601672, 0.63495016
19, 556085632, 0.38156503, 0.60318047, -0.29569322, 0.6349384
20, 556102299, 0.3815609, 0.60330665, -0.29548845, 0.63491654
21, 556118966, 0.3815509, 0.60349363, -0.2952693, 0.63484687
22, 556135633, 0.38146845, 0.6037129, -0.29496506, 0.6348294
23, 556152300, 0.38134992, 0.60395956, -0.29471928, 0.63478017
24, 556168967, 0.38118222, 0.60419583, -0.29451874, 0.63474894
25, 556185634, 0.38103336, 0.6044087, -0.2943691, 0.634705
26, 556202301, 0.38091058, 0.60459733, -0.29422626, 0.6346654
27, 556218968, 0.38083962, 0.6047906, -0.29418877, 0.6345412
28, 556235635, 0.38073012, 0.60496396, -0.29409167, 0.63448673
29, 556252302, 0.3805893, 0.6052199, -0.29408434, 0.6343304
30, 556268969, 0.38037664, 0.60538405, -0.29403004, 0.63432664
31, 556285636, 0.38011795, 0.60555387, -0.29413277, 0.6342719
32, 556302303, 0.3798259, 0.60567385, -0.29413265, 0.6343323
33, 556318970, 0.37957904, 0.6057778, -0.29422504, 0.634338
34, 556335637, 0.37937292, 0.60578936, -0.29426998, 0.6344294
35, 556352304, 0.37918812, 0.6058248, -0.29433277, 0.63447696
36, 556368971, 0.37905914, 0.6057807, -0.29443145, 0.63455045
37, 556385638, 0.3789585, 0.605779, -0.29451862, 0.6345717
38, 556402305, 0.37891454, 0.60576254, -0.29461297, 0.6345698
39, 556418972, 0.37892288, 0.6057209, -0.29476684, 0.63453305
40, 556435639, 0.37898117, 0.60564166, -0.2948904, 0.6345164
41, 556452306, 0.37902692, 0.60562193, -0.2950224, 0.6344467
42, 556468973, 0.3790553, 0.60561544, -0.29507184, 0.6344129
43, 556485640, 0.37909287, 0.60559857, -0.29514092, 0.63437426
44, 556502307, 0.37905437, 0.6056152, -0.2951881, 0.6343596
45, 556518974, 0.3789813, 0.6056678, -0.29527196, 0.63431406
46, 556535641, 0.3788966, 0.6057445, -0.29539514, 0.6342341
47, 556552308, 0.37881294, 0.6058248, -0.2955769, 0.63412255
48, 556568975, 0.37876356, 0.60590047, -0.295778, 0.6339861
49, 556585642, 0.37868813, 0.6059875, -0.29590842, 0.6338869
50, 556602309, 0.3786658, 0.6061008, -0.2960217, 0.6337392
51, 556618976, 0.3786996, 0.606208, -0.29610524, 0.6335773
52, 556635643, 0.37871084, 0.6062718, -0.29621786, 0.63345695
53, 556652310, 0.37864918, 0.6063652, -0.29635054, 0.63334227
54, 556668977, 0.37858117, 0.60642016, -0.29641086, 0.63330203
55, 556685644, 0.3784946, 0.606454, -0.29649854, 0.6332804
56, 556702311, 0.3784599, 0.60644144, -0.296618, 0.6332572
57, 556718978, 0.37849763, 0.6063958, -0.29676947, 0.6332074
58, 556735645, 0.37852138, 0.6063442, -0.29691902, 0.6331724
59, 556752312, 0.3785588, 0.6063291, -0.2970543, 0.63310117
60, 556768979, 0.37853044, 0.6063062, -0.2972066, 0.6330686
61, 556785646, 0.37848374, 0.60627365, -0.29745683, 0.63301027
62, 556802313, 0.3785051, 0.6061906, -0.29766425, 0.63297933
63, 556818980, 0.3785717, 0.6061289, -0.29791826, 0.6328792
64, 556835647, 0.37862867, 0.6060817, -0.2981501, 0.63278115
65, 556852314, 0.37864786, 0.60605776, -0.29836076, 0.6326932
66, 556868981, 0.37859932, 0.60610735, -0.298612, 0.6325562
67, 556885648, 0.37854442, 0.60613847, -0.29885852, 0.63244283
68, 556902315, 0.3785178, 0.6061045, -0.29911104, 0.63237196
69, 556918982, 0.3785061, 0.60611117, -0.299385, 0.6322428
70, 556935649, 0.37846577, 0.60610366, -0.29960987, 0.63216764
71, 556952316, 0.37843242, 0.6061527, -0.29984644, 0.63202846
72, 556968983, 0.37840226, 0.60621405, -0.30014148, 0.63184756
73, 556985650, 0.3783714, 0.6062844, -0.3004188, 0.6316668
74, 557002317, 0.3783142, 0.60637295, -0.30068105, 0.6314911
75, 557018984, 0.37825394, 0.60634965, -0.30103123, 0.6313829
76, 557035651, 0.37817553, 0.60626334, -0.30138865, 0.63134223
77, 557052318, 0.37807626, 0.6061633, -0.30177793, 0.6313117
78, 557068985, 0.37796575, 0.606038, -0.30225474, 0.63127023
79, 557085652, 0.37791547, 0.6058723, -0.3028666, 0.6311661
80, 557102319, 0.3779378, 0.60561746, -0.3033878, 0.6311469
81, 557118986, 0.37796882, 0.60533804, -0.30395365, 0.6311242
82, 557135653, 0.37806842, 0.60497993, -0.30451417, 0.63113785
83, 557152320, 0.37824157, 0.6045775, -0.30500668, 0.6311818
84, 557168987, 0.3784684, 0.60427755, -0.30539197, 0.6311467
85, 557185654, 0.37878343, 0.6039791, -0.3057145, 0.63108724
86, 557202321, 0.37908491, 0.6037081, -0.30604327, 0.6310062
87, 557218988, 0.37946424, 0.60335433, -0.30637643, 0.6309549
88, 557235655, 0.37991098, 0.60289985, -0.3066725, 0.63097656
89, 557252322, 0.38030148, 0.60256994, -0.3070067, 0.63089395
90, 557268989, 0.38067427, 0.6023254, -0.30726844, 0.63077533
91, 557285656, 0.38099593, 0.60220265, -0.30750877, 0.6305812
92, 557302323, 0.38126883, 0.6019872, -0.30774114, 0.63050854
93, 557318990, 0.38150516, 0.6017119, -0.30796003, 0.6305214
94, 557335657, 0.38166156, 0.60151196, -0.30816028, 0.63051975
95, 557352324, 0.38179982, 0.6013105, -0.30829555, 0.63056225
96, 557368991, 0.38185358, 0.60122716, -0.3083947, 0.6305604
97, 557385658, 0.38190457, 0.6011159, -0.3084626, 0.63060254
98, 557402325, 0.38198534, 0.60086185, -0.30859476, 0.6307309
99, 557418992, 0.38205075, 0.6005094, -0.30874482, 0.6309536
100, 557435659, 0.3819836, 0.6003599, -0.30890203, 0.63105965
101, 557452326, 0.38183334, 0.6003188, -0.30910605, 0.63108975
102, 557468993, 0.38168597, 0.6002649, -0.3093411, 0.6311149
103, 557485660, 0.38165498, 0.60008454, -0.30955827, 0.6311987
104, 557502327, 0.38170168, 0.5998679, -0.30984968, 0.6312334
105, 557518994, 0.3817953, 0.59971493, -0.31016412, 0.6311677
106, 557535661, 0.38188502, 0.5995725, -0.310455, 0.63110566
107, 557552328, 0.38192236, 0.5995209, -0.3106671, 0.6310277
108, 557568995, 0.3818505, 0.5995986, -0.3108747, 0.63089514
109, 557585662, 0.38172752, 0.5997142, -0.3110009, 0.63079745
110, 557602329, 0.38159162, 0.59986067, -0.31112012, 0.63068175
111, 557618996, 0.38148752, 0.5999781, -0.31124294, 0.6305724
112, 557635663, 0.3814213, 0.6000722, -0.31133962, 0.63047516
113, 557652330, 0.3813684, 0.6001481, -0.31146213, 0.63037443
114, 557668997, 0.3813288, 0.600271, -0.3116185, 0.6302041
115, 557685664, 0.38128042, 0.600467, -0.311745, 0.6299838
116, 557702331, 0.38125205, 0.6006226, -0.31180966, 0.62982076
117, 557718998, 0.38117898, 0.6007871, -0.311852, 0.62968713
118, 557735665, 0.38105544, 0.6010398, -0.31189576, 0.629499
119, 557752332, 0.38095155, 0.6012302, -0.3119197, 0.6293683
120, 557768999, 0.3807792, 0.6014768, -0.31196567, 0.629214
121, 557785666, 0.38058737, 0.6017092, -0.3119816, 0.62909997
122, 557802333, 0.3804282, 0.6018416, -0.31193668, 0.629092
123, 557819000, 0.38024366, 0.6019758, -0.31187165, 0.6291074
124, 557835667, 0.3801013, 0.60205704, -0.31176627, 0.6291677
125, 557852334, 0.3799534, 0.60209554, -0.31166852, 0.62926877
126, 557869001, 0.37975615, 0.6021577, -0.31163827, 0.6293433
127, 557885668, 0.37958983, 0.60220134, -0.31152552, 0.62945765
128, 557902335, 0.37952968, 0.60207415, -0.31137264, 0.6296912
129, 557919002, 0.37955245, 0.60191447, -0.31127056, 0.62988067
130, 557935669, 0.3796388, 0.6016899, -0.31113368, 0.63011074
131, 557952336, 0.37973708, 0.60152173, -0.31101847, 0.630269
132, 557969003, 0.3798439, 0.6013567, -0.31096998, 0.6303861
133, 557985670, 0.37991965, 0.60121083, -0.31092763, 0.6305004
134, 558002337, 0.37992868, 0.6011486, -0.31091043, 0.6305628
135, 558019004, 0.3799409, 0.6010141, -0.31086594, 0.6307056
136, 558035671, 0.37992483, 0.60095793, -0.31087524, 0.63076407
137, 558052338, 0.37990403, 0.60089123, -0.31088158, 0.630837
138, 558069005, 0.3798717, 0.6007981, -0.31088975, 0.6309412
139, 558085672, 0.3797874, 0.6007529, -0.3109768, 0.6309922
140, 558102339, 0.37972102, 0.60064816, -0.31104565, 0.6310978
141, 558119006, 0.3796146, 0.6006367, -0.31110314, 0.6311443
142, 558135673, 0.37949774, 0.600681, -0.3111033, 0.63117236
143, 558152340, 0.37937003, 0.6007653, -0.31110406, 0.63116854
144, 558169007, 0.37924254, 0.6007994, -0.31105706, 0.63123584
145, 558185674, 0.3790604, 0.60090685, -0.31106275, 0.63124025
146, 558202341, 0.37884694, 0.6010104, -0.31104597, 0.63127804
147, 558219008, 0.3786266, 0.60112846, -0.31101412, 0.63131356
148, 558235675, 0.3784409, 0.601203, -0.3109715, 0.6313749
149, 558252342, 0.378296, 0.601255, -0.31091246, 0.63144124
150, 558269009, 0.37816063, 0.6013412, -0.31083617, 0.63147783
151, 558285676, 0.37802166, 0.6014288, -0.3107945, 0.63149816
152, 558302343, 0.37786752, 0.6015009, -0.3108448, 0.6314969
153, 558319010, 0.37780267, 0.60147077, -0.31090105, 0.63153666
154, 558335677, 0.37774476, 0.601475, -0.310911, 0.63156235
155, 558352344, 0.37774962, 0.6014296, -0.31087196, 0.6316221
156, 558369011, 0.3777674, 0.6013913, -0.3108208, 0.6316729
157, 558385678, 0.3778106, 0.6013072, -0.31076625, 0.631754
158, 558402345, 0.37784743, 0.6011776, -0.3107231, 0.6318766
159, 558419012, 0.37781426, 0.60112274, -0.310726, 0.63194716
160, 558435679, 0.37778935, 0.6010488, -0.31066018, 0.6320647
161, 558452346, 0.37775287, 0.6010678, -0.3105934, 0.63210124
162, 558469013, 0.37773782, 0.60102564, -0.3105454, 0.6321739
163, 558485680, 0.3777263, 0.60097516, -0.31051433, 0.63224417
164, 558502347, 0.37767792, 0.60094553, -0.31053385, 0.63229156
165, 558519014, 0.3777003, 0.60087675, -0.31053525, 0.63234293
166, 558535681, 0.37775785, 0.6007753, -0.31049496, 0.6324246
167, 558552348, 0.3777827, 0.6007571, -0.31051344, 0.632418
168, 558569015, 0.37784576, 0.6006705, -0.31048408, 0.6324771
169, 558585682, 0.37789568, 0.6006358, -0.31044373, 0.6324999
170, 558602349, 0.3779145, 0.60061145, -0.31040817, 0.6325294
171, 558619016, 0.37791547, 0.6006217, -0.3104393, 0.63250375
172, 558635683, 0.37785393, 0.60066676, -0.31051487, 0.6324606
173, 558652350, 0.37774247, 0.6007655, -0.31058782, 0.63239753
174, 558669017, 0.37763864, 0.6008754, -0.31064597, 0.63232654
175, 558685684, 0.3775794, 0.60091066, -0.31068018, 0.63231176
176, 558702351, 0.37759516, 0.60088176, -0.31066972, 0.632335
177, 558719018, 0.37761483, 0.6008543, -0.31073746, 0.632316
178, 558735685, 0.37759867, 0.60078925, -0.31084058, 0.63233685
179, 558752352, 0.3775098, 0.60084385, -0.31092033, 0.6322987
180, 558769019, 0.3774465, 0.60085535, -0.3109372, 0.6323172
181, 558785686, 0.37739617, 0.6008865, -0.31095028, 0.6323113
182, 558802353, 0.37735793, 0.60090506, -0.31098276, 0.63230044
183, 558819020, 0.3773552, 0.60086244, -0.3110329, 0.6323179
184, 558835687, 0.37739906, 0.6007295, -0.3110912, 0.6323893
185, 558852354, 0.37738323, 0.60067886, -0.31120285, 0.6323919
186, 558869021, 0.3773513, 0.6005985, -0.3112112, 0.6324833
187, 558885688, 0.37729442, 0.6005617, -0.31123585, 0.6325401
188, 558902355, 0.37720752, 0.6005415, -0.31129056, 0.63258415
189, 558919022, 0.37713242, 0.6004932, -0.31131762, 0.6326614
190, 558935689, 0.37705407, 0.600493, -0.3114, 0.6326677
191, 558952356, 0.37702122, 0.60048914, -0.3114586, 0.6326622
192, 558969023, 0.37700155, 0.6005309, -0.3115386, 0.63259476
193, 558985690, 0.3769681, 0.60054606, -0.31159434, 0.6325728
194, 559002357, 0.3769565, 0.60056585, -0.31162915, 0.632544
195, 559019024, 0.37695056, 0.60058445, -0.31170407, 0.63249296
196, 559035691, 0.37694997, 0.60058016, -0.3118208, 0.6324398
197, 559052358, 0.37693974, 0.6006333, -0.31196535, 0.6323241
198, 559069025, 0.3769436, 0.60068333, -0.31207561, 0.63221985
199, 559085692, 0.37690765, 0.6007975, -0.3122075, 0.63206774
200, 559102359, 0.37688756, 0.6008689, -0.31224537, 0.63199306
201, 559119026, 0.37680498, 0.60094506, -0.31223503, 0.63197494
202, 559135693, 0.3767245, 0.6010093, -0.31221378, 0.63197225
203, 559152360, 0.3765815, 0.60110766, -0.31219357, 0.6319741
204, 559169027, 0.37638593, 0.6012406, -0.31217724, 0.6319722
205, 559185694, 0.3762305, 0.6012755, -0.31212315, 0.63205826
206, 559202361, 0.37611172, 0.60133266, -0.3120468, 0.63211215
207, 559219028, 0.37606424, 0.6013125, -0.3119351, 0.63221484
208, 559235695, 0.3760403, 0.601294, -0.31198764, 0.63222086
209, 559252362, 0.37604007, 0.60122603, -0.31196517, 0.63229656
210, 559269029, 0.37601262, 0.6012412, -0.3119486, 0.63230664
211, 559285696, 0.37593386, 0.6013242, -0.3119549, 0.6322714
212, 559302363, 0.37587517, 0.6013877, -0.31194514, 0.63225067
213, 559319030, 0.3758357, 0.60144657, -0.3119499, 0.6322158
214, 559335697, 0.37576687, 0.60151744, -0.3119627, 0.632183
215, 559352364, 0.37569407, 0.6015963, -0.31197342, 0.63214606
216, 559369031, 0.3756273, 0.60169065, -0.3119747, 0.6320953
217, 559385698, 0.3755392, 0.60182333, -0.3119594, 0.6320288
218, 559402365, 0.37543216, 0.60201466, -0.31192878, 0.6319253
219, 559419032, 0.3753048, 0.60221255, -0.31193307, 0.63181025
220, 559435699, 0.37516758, 0.6024255, -0.31194928, 0.6316808
221, 559452366, 0.37505704, 0.60260934, -0.31200337, 0.6315443
222, 559469033, 0.3749439, 0.6028111, -0.31203216, 0.6314047
223, 559485700, 0.37482622, 0.60305595, -0.31203046, 0.6312416
224, 559502367, 0.3747147, 0.6032313, -0.31204504, 0.6311331
225, 559519034, 0.3746196, 0.60337305, -0.31208283, 0.63103527
226, 559535701, 0.37447995, 0.60356575, -0.31216967, 0.63089097
227, 559552368, 0.37434775, 0.60367864, -0.31224266, 0.6308253
228, 559569035, 0.3742004, 0.60386354, -0.31227612, 0.6307193
229, 559585702, 0.3741509, 0.60394555, -0.31222332, 0.6306962
230, 559602369, 0.37415454, 0.6040011, -0.3121658, 0.6306692
231, 559619036, 0.37413794, 0.6040698, -0.3121003, 0.6306457
232, 559635703, 0.3740547, 0.60420793, -0.31208932, 0.63056815
233, 559652370, 0.37393054, 0.6043717, -0.31209153, 0.6304838
234, 559669037, 0.37380257, 0.6044864, -0.3120768, 0.63045704
235, 559685704, 0.37369922, 0.60454905, -0.3120661, 0.63046354
236, 559702371, 0.3736622, 0.6045914, -0.31189802, 0.63052785
237, 559719038, 0.37362182, 0.60469335, -0.31171176, 0.63054615
238, 559735705, 0.37358373, 0.60474664, -0.31159785, 0.630574
239, 559752372, 0.37356365, 0.6047363, -0.3115096, 0.6306394
240, 559769039, 0.37353352, 0.6047766, -0.31149533, 0.63062567
241, 559785706, 0.37350777, 0.6048276, -0.31145766, 0.63061064
242, 559802373, 0.37349316, 0.60493106, -0.3114443, 0.6305267
243, 559819040, 0.37350994, 0.604984, -0.31143627, 0.6304698
244, 559835707, 0.37353343, 0.60503376, -0.3115012, 0.6303761
245, 559852374, 0.37358296, 0.6050312, -0.31151003, 0.63034487
246, 559869041, 0.3735685, 0.6050753, -0.31143567, 0.6303479
247, 559885708, 0.3735502, 0.6051636, -0.3113778, 0.6303025
248, 559902375, 0.37348688, 0.6052968, -0.31129318, 0.630254
249, 559919042, 0.3734504, 0.6054171, -0.31123424, 0.63018924
250, 559935709, 0.3734304, 0.60540766, -0.3111394, 0.63025683
251, 559952376, 0.3733662, 0.6055119, -0.31101096, 0.6302581
252, 559969043, 0.37332648, 0.60556453, -0.3109016, 0.63028497
253, 559985710, 0.37330607, 0.60556775, -0.3107046, 0.6303911
254, 560002377, 0.37330282, 0.6055918, -0.31052023, 0.6304609
255, 560019044, 0.37329644, 0.6056605, -0.31039444, 0.6304605
256, 560035711, 0.37327778, 0.6056848, -0.3103115, 0.630489
257, 560052378, 0.3732313, 0.6057303, -0.31027964, 0.6304886
258, 560069045, 0.37322393, 0.6057517, -0.31023732, 0.6304932
259, 560085712, 0.3732548, 0.60568476, -0.31015226, 0.630581
260, 560102379, 0.37326786, 0.605628, -0.31015077, 0.6306285
261, 560119046, 0.37324467, 0.6055702, -0.31016207, 0.6306921
262, 560135713, 0.37316957, 0.60561657, -0.31015402, 0.6306962
263, 560152380, 0.37305203, 0.6056924, -0.3101582, 0.63069075
264, 560169047, 0.37299576, 0.6057258, -0.31016335, 0.63068944
