1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,good_or_bad
-53.02259826660156,-79.47488403320312,-135.17037963867188,-71.85139465332031,170.87686157226562,-75.73727416992188,-126.96487426757812,-80.19967651367188,6.151726722717285,-78.32832336425781,0
-54.86875534057617,-79.84669494628906,-135.16015625,-72.27853393554688,171.0261993408203,-75.48628997802734,-124.87958526611328,-80.19849395751953,6.787308692932129,-78.76019287109375,0
-58.3647575378418,-80.14509582519531,-140.2724609375,-72.86727905273438,171.96099853515625,-75.15723419189453,-124.83512115478516,-80.04545593261719,6.849079608917236,-78.6162338256836,0
-61.187744140625,-80.38337707519531,-140.1181640625,-72.42843627929688,172.320068359375,-74.97364807128906,-125.41944885253906,-79.98574829101562,7.78970193862915,-78.32659912109375,0
-62.65211868286133,-80.62751770019531,-139.19847106933594,-72.00262451171875,171.8129119873047,-75.03630065917969,-125.59141540527344,-79.97383117675781,7.936156749725342,-78.3211669921875,0
-66.6394271850586,-81.08639526367188,-138.57337951660156,-71.6633529663086,171.68630981445312,-75.19464874267578,-125.89205169677734,-80.04181671142578,6.9378275871276855,-78.3470687866211,0
-70.14459991455078,-81.26234436035156,-138.33567810058594,-71.52069854736328,171.78329467773438,-75.24388122558594,-125.8843765258789,-80.05104064941406,6.8031907081604,-78.30227661132812,0
-75.06660461425781,-81.47428894042969,-138.1475830078125,-71.39669036865234,171.9490966796875,-75.25152587890625,-125.66993713378906,-80.05439758300781,6.996342182159424,-78.18814086914062,0
-81.03124237060547,-81.58055877685547,-137.9769287109375,-71.28518676757812,172.04879760742188,-75.34174346923828,-125.68421173095703,-80.08904266357422,7.080644130706787,-78.02181243896484,0
-86.13553619384766,-81.52973175048828,-137.79537963867188,-71.19951629638672,172.15110778808594,-75.45787811279297,-125.72549438476562,-80.13658142089844,6.858595371246338,-77.91461944580078,0
-88.18445587158203,-81.4949951171875,-137.69415283203125,-71.15116882324219,172.1523895263672,-75.52581787109375,-125.68325805664062,-80.15538024902344,6.672842502593994,-77.8759994506836,0
-93.73455810546875,-81.36441802978516,-137.34967041015625,-70.97755432128906,172.31829833984375,-75.80585479736328,-125.8158187866211,-80.2776107788086,6.557436943054199,-77.7124252319336,0
-93.2528305053711,-81.3842544555664,-137.0299072265625,-70.70401000976562,172.50364685058594,-76.08112335205078,-126.13153076171875,-80.4623031616211,6.865748882293701,-77.91352844238281,0
-89.1058578491211,-81.5571517944336,-136.24603271484375,-70.17940521240234,172.69981384277344,-76.65251159667969,-126.35575866699219,-80.68989562988281,7.511551856994629,-78.27503967285156,0
-88.31812286376953,-81.62185668945312,-136.15499877929688,-70.15152740478516,172.53517150878906,-76.7411117553711,-126.34819030761719,-80.7144775390625,7.498869895935059,-78.29564666748047,0
-87.8086166381836,-81.66822814941406,-136.10414123535156,-70.12844848632812,172.4281768798828,-76.77728271484375,-126.32086944580078,-80.71693420410156,7.535696506500244,-78.30338287353516,0
-86.92704010009766,-81.73917388916016,-136.00897216796875,-70.07691955566406,172.10684204101562,-76.8762435913086,-126.2572250366211,-80.72574615478516,7.5011820793151855,-78.31124877929688,0
-86.50324249267578,-81.77046966552734,-135.9907684326172,-70.04769134521484,171.92788696289062,-76.92408752441406,-126.2431411743164,-80.73289489746094,7.485507488250732,-78.31765747070312,0
-86.05388641357422,-81.7957534790039,-135.9893798828125,-70.02845001220703,171.74278259277344,-76.95586395263672,-126.22988891601562,-80.7392578125,7.536233425140381,-78.32317352294922,0
-85.62883758544922,-81.81094360351562,-135.98597717285156,-70.01483917236328,171.5602569580078,-76.9891586303711,-126.2125244140625,-80.7433090209961,7.64274263381958,-78.31925964355469,0
-84.0748291015625,-81.82024383544922,-135.98744201660156,-69.95960235595703,171.28591918945312,-77.10350799560547,-126.31546783447266,-80.77516174316406,7.7125701904296875,-78.25415802001953,0
-82.92115783691406,-81.80992889404297,-135.9817352294922,-69.92880249023438,171.2465362548828,-77.21749114990234,-126.52096557617188,-80.81273651123047,7.694725513458252,-78.21923065185547,0
-82.36981201171875,-81.79902648925781,-135.9842529296875,-69.91592407226562,171.2041778564453,-77.28369140625,-126.60908508300781,-80.84541320800781,7.680454730987549,-78.21029663085938,0
-81.35885620117188,-81.75312042236328,-136.0028533935547,-69.87921905517578,171.09219360351562,-77.42823791503906,-126.80224609375,-80.94132232666016,7.6386213302612305,-78.25994873046875,0
-80.86503601074219,-81.723388671875,-135.9835662841797,-69.86506652832031,171.05746459960938,-77.50592041015625,-126.94170379638672,-80.99182891845703,7.647861957550049,-78.29253387451172,0
-78.69556427001953,-81.59337615966797,-135.95556640625,-69.8335952758789,170.852294921875,-77.72843170166016,-127.38155364990234,-81.16695404052734,7.545925617218018,-78.40528106689453,0
-76.64247131347656,-81.4848403930664,-135.91629028320312,-69.84442138671875,170.77098083496094,-77.77714538574219,-127.33795166015625,-81.23339080810547,7.477099418640137,-78.5155258178711,0
-75.26117706298828,-81.44425201416016,-135.91085815429688,-69.85045623779297,170.64634704589844,-77.76355743408203,-127.10326385498047,-81.2646255493164,7.650331974029541,-78.53023529052734,0
-74.44306945800781,-81.43512725830078,-135.91470336914062,-69.86000061035156,170.51251220703125,-77.75851440429688,-126.98409271240234,-81.28143310546875,7.683143138885498,-78.54391479492188,0
-72.14611053466797,-81.38379669189453,-135.89064025878906,-69.92660522460938,170.0970916748047,-77.73259735107422,-126.84297943115234,-81.3398666381836,7.497171878814697,-78.60720825195312,0
-71.78435516357422,-81.37406921386719,-135.86019897460938,-69.94571685791016,170.02516174316406,-77.71968078613281,-126.7794189453125,-81.33952331542969,7.48919153213501,-78.60796356201172,0
-71.14209747314453,-81.34322357177734,-135.84210205078125,-69.96691131591797,170.03443908691406,-77.66691589355469,-126.43390655517578,-81.33959197998047,7.593282699584961,-78.6241226196289,0
-70.96761322021484,-81.34485626220703,-135.85401916503906,-69.9755859375,170.052978515625,-77.64014434814453,-126.28425598144531,-81.33750915527344,7.609874248504639,-78.63352966308594,0
-70.99109649658203,-81.41754913330078,-136.02296447753906,-70.05754852294922,170.04937744140625,-77.33782196044922,-125.51254272460938,-81.23512268066406,7.480905532836914,-78.63459014892578,0
-70.98316192626953,-81.42540740966797,-136.04730224609375,-70.08123779296875,169.9892120361328,-77.29476928710938,-125.35762023925781,-81.20882415771484,7.483541965484619,-78.62665557861328,0
