1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,good_or_bad
-80.90927124023438,-46.76174545288086,-159.6365966796875,-113.58743286132812,-67.87885284423828,-50.45664978027344,-167.84420776367188,-71.81566619873047,-59.5203857421875,143.24293518066406,-67.0531997680664,-104.45952606201172,-9.948958396911621,-78.34097290039062,127.9284439086914,1
-82.2961654663086,-46.8054084777832,-158.2882537841797,-110.23243713378906,-65.78248596191406,-53.59296798706055,-167.81443786621094,-70.00434112548828,-59.449981689453125,144.23118591308594,-67.23992919921875,-105.47245025634766,-11.360489845275879,-77.73155212402344,129.32095336914062,1
-83.00468444824219,-46.81285095214844,-157.86280822753906,-110.1678466796875,-65.78975677490234,-53.56351852416992,-168.09950256347656,-69.63250732421875,-59.243038177490234,144.28921508789062,-67.33158111572266,-105.52239227294922,-11.913683891296387,-77.60044860839844,129.9951934814453,1
-83.6824722290039,-47.17656707763672,-157.56153869628906,-109.69571685791016,-66.07064056396484,-53.993751525878906,-169.04953002929688,-69.77598571777344,-58.99215316772461,145.08204650878906,-66.8813247680664,-106.2552261352539,-12.40870475769043,-77.32653045654297,130.52627563476562,1
-83.8303451538086,-47.22022247314453,-157.6405029296875,-109.54654693603516,-66.09262084960938,-54.260704040527344,-169.26800537109375,-69.8995132446289,-58.94474411010742,145.165771484375,-66.89939880371094,-106.23550415039062,-12.357449531555176,-77.25444793701172,130.4099578857422,1
-84.09233093261719,-47.80735778808594,-158.3017578125,-108.44268798828125,-66.3299789428711,-56.337158203125,-170.07545471191406,-69.69872283935547,-58.89767074584961,145.77928161621094,-66.65070343017578,-106.80998992919922,-11.88476276397705,-77.16207122802734,129.2908172607422,1
-84.14283752441406,-47.94862365722656,-158.54563903808594,-107.97164154052734,-66.4168930053711,-57.19718933105469,-170.53453063964844,-69.92485809326172,-58.86419677734375,145.71546936035156,-66.74549102783203,-106.69231414794922,-11.642587661743164,-77.18317413330078,128.78953552246094,1
-84.59471130371094,-48.780029296875,-160.10983276367188,-105.16688537597656,-66.44881439208984,-63.34809112548828,-171.5895233154297,-69.9385986328125,-59.49737548828125,146.2859649658203,-66.53063201904297,-107.95421600341797,-10.643969535827637,-77.07513427734375,125.784912109375,1
-84.21582794189453,-49.74402618408203,-163.19583129882812,-102.74996185302734,-66.27884674072266,-68.04930114746094,-171.8268280029297,-70.31256103515625,-61.230228424072266,147.73489379882812,-66.34661102294922,-112.16075897216797,-11.002035140991211,-76.7246322631836,123.7358169555664,1
-83.73865509033203,-49.841468811035156,-164.39012145996094,-103.25247192382812,-66.49686431884766,-67.84716033935547,-172.94265747070312,-69.77361297607422,-61.05405044555664,148.2238311767578,-66.17667388916016,-113.48688507080078,-10.876266479492188,-76.59467315673828,123.2105484008789,1
-83.34406280517578,-49.935848236083984,-165.06692504882812,-104.28294372558594,-66.85739135742188,-66.2042007446289,-171.82821655273438,-68.88394927978516,-60.18778991699219,148.5790252685547,-65.94676971435547,-114.88965606689453,-10.959904670715332,-76.52014923095703,123.16668701171875,1
-83.39603424072266,-49.97068405151367,-164.89491271972656,-105.63072967529297,-67.14866638183594,-63.23704147338867,-171.79795837402344,-68.85717010498047,-59.381099700927734,148.76068115234375,-66.14456176757812,-115.13167572021484,-10.834671974182129,-76.04070281982422,123.3018798828125,1
-83.51305389404297,-49.99079895019531,-164.65771484375,-105.74906158447266,-67.21806335449219,-62.82799530029297,-171.76953125,-68.87521362304688,-59.21176528930664,148.71780395507812,-66.3028335571289,-114.93083953857422,-10.788768768310547,-75.91604614257812,123.38395690917969,1
-83.61166381835938,-49.9613037109375,-164.52313232421875,-105.89009094238281,-67.27601623535156,-62.49493408203125,-171.8196258544922,-68.72386169433594,-59.11850357055664,148.69395446777344,-66.4110336303711,-114.78508758544922,-10.821293830871582,-75.82608795166016,123.55851745605469,1
-83.98979187011719,-49.94036102294922,-163.1524200439453,-106.49540710449219,-67.41390991210938,-60.69762420654297,-171.40272521972656,-68.4951171875,-58.98932647705078,148.8547821044922,-66.60122680664062,-114.31937408447266,-11.818036079406738,-75.47126770019531,125.64540100097656,1
-84.1182861328125,-49.98025131225586,-162.5989227294922,-105.78829956054688,-66.6963882446289,-60.5306396484375,-171.3775177001953,-68.39930725097656,-58.74310302734375,148.94351196289062,-66.80223083496094,-114.04666900634766,-11.631507873535156,-75.35414123535156,125.93923950195312,1
-84.28282165527344,-50.433067321777344,-161.59701538085938,-102.81120300292969,-64.19818878173828,-62.49187469482422,-172.67263793945312,-68.2225112915039,-58.42500686645508,149.1182861328125,-67.45381927490234,-113.81405639648438,-10.0299654006958,-75.27090454101562,124.86325073242188,1
