1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,good_or_bad
-159.49078917503357,-57.78960418701172,93.68321228027344,89.09418487548828,-49.70773696899414,2.9644711017608643,-148.24706029891968,-56.9495849609375,111.5058822631836,-240.13188934326172,-72.95860290527344,143.76914978027344,-25.12015652656555,-51.31203079223633,61.532012939453125,1
-159.81297314167023,-57.43955612182617,93.792236328125,88.98656463623047,-49.62873458862305,3.0910704135894775,-148.42048978805542,-56.82006072998047,111.53649139404297,-239.7233657836914,-72.8897476196289,143.4224853515625,-25.30943012237549,-51.21226501464844,61.61878967285156,1
-159.3188660144806,-57.75969314575195,93.33132934570312,89.20365142822266,-49.40098571777344,2.514244794845581,-148.2483730316162,-57.08283233642578,111.39105987548828,-240.50868225097656,-72.96392822265625,143.709716796875,-25.103819370269775,-51.41886520385742,61.44171142578125,1
-159.05892729759216,-57.911964416503906,93.11793518066406,89.28203582763672,-49.271644592285156,2.144838809967041,-148.1931447982788,-57.261695861816406,111.3288345336914,-240.68985748291016,-73.01046752929688,143.8703155517578,-25.061705827713013,-51.53413772583008,61.40082550048828,1
-158.58003330230713,-58.21377182006836,92.5643310546875,89.53550720214844,-49.12825393676758,1.356359601020813,-148.15845441818237,-57.73503112792969,111.07540893554688,-241.90636444091797,-73.0055160522461,144.66055297851562,-24.83749556541443,-51.811397552490234,61.0267448425293,1
-158.4994821548462,-58.38397216796875,92.1219482421875,89.78272247314453,-49.27395248413086,1.0037562847137451,-148.20590686798096,-58.120697021484375,110.68911743164062,-242.66429138183594,-72.7703857421875,145.13095092773438,-24.88494038581848,-51.88267135620117,60.74256134033203,1
-158.52105903625488,-58.32139587402344,92.08837127685547,89.7928237915039,-49.34014892578125,1.032507061958313,-148.2226438522339,-58.112457275390625,110.6641616821289,-242.56656646728516,-72.74800872802734,145.0709686279297,-24.870907306671143,-51.85994338989258,60.69151306152344,1
-158.5838053226471,-58.22464370727539,92.08182525634766,89.75959777832031,-49.41276550292969,1.1334755420684814,-148.2332968711853,-58.0980339050293,110.64562225341797,-242.47616577148438,-72.73960876464844,145.0039520263672,-24.850728273391724,-51.836517333984375,60.64800262451172,1
-158.87693691253662,-57.665916442871094,92.51836395263672,90.09273529052734,-50.242645263671875,2.486693859100342,-148.12260580062866,-57.92454147338867,110.81023406982422,-241.90079498291016,-72.85862731933594,145.15769958496094,-24.81922149658203,-51.749088287353516,60.859458923339844,1
-158.912269115448,-57.620079040527344,92.6958236694336,90.22494506835938,-50.30635070800781,2.3307251930236816,-148.14974117279053,-57.934261322021484,110.94625091552734,-241.75807189941406,-72.98794555664062,145.28379821777344,-24.78919816017151,-51.719451904296875,60.943634033203125,1
-159.08268451690674,-57.72359085083008,92.97351837158203,89.60952758789062,-50.36770248413086,2.398951768875122,-148.30161905288696,-57.98878479003906,111.22504425048828,-241.58364868164062,-73.05209350585938,145.28160095214844,-24.938841819763184,-51.770957946777344,61.27898406982422,1
-159.05519795417786,-57.91016387939453,93.3475570678711,90.0256118774414,-50.309059143066406,2.4579312801361084,-148.29560565948486,-58.151084899902344,111.40946960449219,-241.7184066772461,-73.15717315673828,145.46368408203125,-24.829272031784058,-51.883758544921875,61.5630989074707,1
-158.6806788444519,-58.185096740722656,93.884521484375,90.35862731933594,-50.258399963378906,2.592512607574463,-148.4034776687622,-57.8798713684082,111.6668701171875,-241.7486114501953,-73.16116333007812,145.34263610839844,-24.84924292564392,-51.8344841003418,61.86815643310547,1
-158.63615942001343,-58.20246124267578,93.8602294921875,90.31195831298828,-50.27144241333008,2.6143441200256348,-148.29724979400635,-57.68490219116211,111.59246826171875,-241.43519592285156,-73.14978790283203,145.13319396972656,-24.921749114990234,-51.6990852355957,61.98173904418945,1
-159.0541112422943,-57.82307815551758,94.49298858642578,90.43228149414062,-50.395179748535156,2.8828063011169434,-148.29088592529297,-56.918296813964844,111.63202667236328,-241.38396453857422,-73.08428192138672,145.0603485107422,-25.141159772872925,-51.278907775878906,62.18109893798828,1
-159.06054162979126,-57.74126434326172,94.52074432373047,90.4201889038086,-50.4223747253418,2.9159393310546875,-148.25114727020264,-56.776397705078125,111.624267578125,-241.2158966064453,-73.07759094238281,144.9453125,-25.168850421905518,-51.17360305786133,62.205810546875,1
-159.09707760810852,-57.61927795410156,94.54119110107422,90.36471557617188,-50.43735885620117,2.9714179039001465,-148.2414093017578,-56.63898468017578,111.63213348388672,-241.08589935302734,-73.06409454345703,144.87330627441406,-25.21903920173645,-51.08156967163086,62.25459289550781,1
-159.20657348632812,-57.25981903076172,94.77118682861328,90.42540740966797,-50.481685638427734,3.176069736480713,-148.2781434059143,-56.132225036621094,111.7113037109375,-241.01217651367188,-73.00293731689453,144.83761596679688,-25.522919178009033,-50.710113525390625,62.542022705078125,1
-159.36687326431274,-57.02842330932617,95.01280212402344,90.4140396118164,-50.47664260864258,3.1166493892669678,-148.2602949142456,-55.907196044921875,111.75846099853516,-240.92150115966797,-72.9873046875,144.80836486816406,-25.62095022201538,-50.540382385253906,62.61310958862305,1
-159.38079500198364,-56.841068267822266,95.05262756347656,90.35578918457031,-50.471492767333984,3.1889896392822266,-148.28344106674194,-55.70163345336914,111.84843444824219,-240.81880950927734,-72.99603271484375,144.81178283691406,-25.72274422645569,-50.392635345458984,62.73469543457031,1
-159.43048548698425,-56.65012741088867,95.1156005859375,90.2238540649414,-50.480865478515625,3.240277051925659,-148.32643127441406,-55.50191116333008,111.9376220703125,-240.64484405517578,-72.97235870361328,144.70921325683594,-25.90675163269043,-50.28293228149414,62.942604064941406,1
-159.4854965209961,-56.55237579345703,95.1615982055664,90.30496978759766,-50.50208282470703,3.2369909286499023,-148.33494758605957,-55.3975830078125,111.9499740600586,-240.62340545654297,-72.94940185546875,144.69537353515625,-25.998528242111206,-50.218807220458984,63.04011154174805,1
-159.50853848457336,-56.34922409057617,95.21475982666016,90.47061920166016,-50.516014099121094,3.1959333419799805,-148.28520154953003,-55.17066192626953,111.91266632080078,-240.62627410888672,-72.91413879394531,144.6986541748047,-26.113381385803223,-50.02719497680664,63.14173126220703,1
-159.59667873382568,-56.15172576904297,95.27401733398438,90.45744323730469,-50.54854202270508,3.2615387439727783,-148.271258354187,-54.946170806884766,111.88611602783203,-240.58783721923828,-72.87683868408203,144.67478942871094,-26.17430865764618,-49.85149002075195,63.1542854309082,1
-160.06429612636566,-55.713645935058594,95.50579833984375,90.28207397460938,-50.6566047668457,3.536931276321411,-148.42166376113892,-54.47358322143555,111.83587646484375,-240.54364776611328,-72.69227600097656,144.58236694335938,-26.487173080444336,-49.43803024291992,63.252052307128906,1
-160.1802418231964,-55.59482955932617,95.56855773925781,90.32231140136719,-50.7580451965332,3.7108728885650635,-148.49762678146362,-54.36629104614258,111.8294448852539,-240.29458618164062,-72.60536193847656,144.38809204101562,-26.57332193851471,-49.33706283569336,63.27239227294922,1
-160.23222851753235,-55.53009033203125,95.60858154296875,90.45603942871094,-50.80162811279297,3.653733015060425,-148.53165674209595,-54.31357955932617,111.8321762084961,-240.22445678710938,-72.58525085449219,144.3533935546875,-26.598413109779358,-49.28550338745117,63.28053665161133,1
-160.3080325126648,-55.483924865722656,95.66915130615234,90.45178985595703,-50.82780075073242,3.6598267555236816,-148.58251667022705,-54.267391204833984,111.8621597290039,-240.1648406982422,-72.57489013671875,144.31661987304688,-26.625600695610046,-49.24980926513672,63.30096435546875,1
-160.95456928014755,-55.62790298461914,96.24482727050781,90.46649932861328,-50.91835021972656,4.044620990753174,-148.94905281066895,-54.265647888183594,112.39269256591797,-239.36872100830078,-72.70675659179688,144.3074951171875,-26.914794206619263,-49.25032043457031,63.87678527832031,1
-160.8807499408722,-55.73945999145508,96.19430541992188,90.61101531982422,-50.89701461791992,4.012040138244629,-148.96351671218872,-54.3369026184082,112.40802764892578,-239.49384307861328,-72.70850372314453,144.37359619140625,-26.933846831321716,-49.311302185058594,63.92676544189453,1
-160.77415299415588,-55.89493942260742,96.13623046875,90.75906372070312,-50.85694122314453,3.866582155227661,-148.94439697265625,-54.42848205566406,112.4197998046875,-239.6236801147461,-72.70526123046875,144.4342803955078,-26.87319827079773,-49.389591217041016,63.902156829833984,1
-160.66707372665405,-56.19681167602539,96.11331939697266,90.66253662109375,-50.79619216918945,3.6909847259521484,-148.91903972625732,-54.665016174316406,112.49215698242188,-239.80191802978516,-72.69325256347656,144.51318359375,-26.76098597049713,-49.554683685302734,63.84978485107422,1
-160.58901071548462,-56.26355743408203,96.06959533691406,90.74212646484375,-50.80235290527344,3.619976758956909,-148.9084072113037,-54.72903823852539,112.49005126953125,-239.85123443603516,-72.69949340820312,144.5695037841797,-26.741116642951965,-49.59675979614258,63.84867858886719,1
-160.50547540187836,-56.316715240478516,96.02046203613281,90.8589859008789,-50.8037109375,3.550732374191284,-148.88460636138916,-54.785369873046875,112.48664093017578,-239.97196197509766,-72.7136459350586,144.67198181152344,-26.70879864692688,-49.63975524902344,63.83934020996094,1
-160.18206238746643,-56.71901321411133,95.99982452392578,91.0172348022461,-50.746761322021484,3.4206643104553223,-148.72801542282104,-55.14107131958008,112.63746643066406,-240.13094329833984,-72.82616424560547,144.8706512451172,-26.475395441055298,-49.90449905395508,63.85835647583008,1
-159.69943928718567,-57.65884017944336,96.29644775390625,91.67269897460938,-50.628150939941406,2.6747024059295654,-148.5833764076233,-55.80986785888672,113.1806411743164,-241.2800064086914,-72.96407318115234,145.7420654296875,-26.18026876449585,-50.446434020996094,64.0823974609375,1
-159.6847460269928,-57.71002960205078,96.31820678710938,91.73519897460938,-50.64683532714844,2.62095308303833,-148.58537912368774,-55.867820739746094,113.22601318359375,-241.31269073486328,-72.96244049072266,145.78689575195312,-26.194899678230286,-50.47907638549805,64.13526153564453,1
-159.63204264640808,-57.82490158081055,96.35637664794922,91.8675765991211,-50.68948745727539,2.550785779953003,-148.61172008514404,-55.95301818847656,113.30736541748047,-241.3726348876953,-72.94020080566406,145.88987731933594,-26.177553415298462,-50.56504440307617,64.17160034179688,1
-159.6208577156067,-57.83776092529297,96.3802490234375,91.83772277832031,-50.72463607788086,2.6450436115264893,-148.60778999328613,-56.03943634033203,113.36742401123047,-241.48786163330078,-72.89763641357422,146.0117950439453,-26.116124153137207,-50.63862609863281,64.1649398803711,1
-159.93274974822998,-58.00361251831055,96.85250854492188,92.20262145996094,-51.043514251708984,2.7951927185058594,-148.84017133712769,-56.22911834716797,113.81877899169922,-242.10956573486328,-72.74186706542969,146.76060485839844,-26.168819308280945,-50.77864456176758,64.48098754882812,1
-160.02616429328918,-58.02938461303711,97.07427978515625,92.36125946044922,-51.26889419555664,2.9692680835723877,-148.6826057434082,-56.38134765625,113.70948028564453,-242.2588653564453,-72.49261474609375,146.66087341308594,-26.10491633415222,-50.75999450683594,64.51261901855469,1
-160.008105635643,-57.9599609375,97.22498321533203,92.45872497558594,-51.40553283691406,2.9513864517211914,-148.50737857818604,-56.483619689941406,113.6667709350586,-242.54576110839844,-72.47988891601562,146.9009552001953,-25.794190168380737,-50.75584030151367,64.34590148925781,1
