1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,good_or_bad
-153.52146531967773,-66.88943481445312,111.1534652709961,21.271217361621098,-44.128173828125,-75.1318359375,108.53545571193848,-60.32550811767578,31.212656021118164,30.370246858496103,-41.277366638183594,155.4933624267578,-17.158621310616454,-54.45219802856445,40.82677459716797,1
-153.45526410965576,-66.37489318847656,111.40848541259766,20.90563966386719,-44.43429183959961,-75.1152572631836,108.55311966762696,-60.222721099853516,31.053691864013672,30.20763394345704,-41.14286804199219,155.43063354492188,-17.1708164209375,-54.354087829589844,40.71540832519531,1
-152.47896196274414,-65.6675796508789,111.81194305419922,20.66246034257813,-44.102317810058594,-74.55040740966797,109.97875023708497,-60.21653366088867,31.60405731201172,31.813995332617196,-42.188987731933594,156.43252563476562,-16.412055014992674,-54.194217681884766,41.43866729736328,1
-152.53882219223632,-65.62747192382812,111.82472229003906,20.992462173632816,-43.823604583740234,-74.41939544677734,109.96135140285645,-60.2903938293457,31.677440643310547,31.610916108984384,-42.0281982421875,156.3480987548828,-16.355514525795897,-54.191871643066406,41.5112190246582,1
-151.83157541184082,-66.02692413330078,110.9343032836914,20.89849092119141,-43.707027435302734,-74.31946563720703,110.01268006191407,-60.60055923461914,31.49374008178711,31.483924837011728,-42.07085037231445,156.24562072753906,-15.952171325112303,-54.377525329589844,41.141151428222656,1
-148.86460592178955,-65.3967514038086,108.83865356445312,20.768287674121098,-43.86879348754883,-74.81029510498047,109.52125168666993,-61.2768669128418,31.35767936706543,30.76573178281251,-41.86916732788086,156.0031280517578,-15.609200477028807,-54.83116912841797,40.41241455078125,1
-148.64424611954345,-65.37098693847656,108.87029266357422,20.786949173144535,-43.87936019897461,-74.85027313232422,109.85051728115235,-61.380863189697266,31.03619956970215,30.686050386328134,-41.84908676147461,155.9544219970703,-15.425557135964354,-54.85213851928711,40.187984466552734,1
-148.35908319382324,-65.56426239013672,108.8161392211914,20.82456971757813,-43.92424011230469,-74.86293029785156,110.26180268154297,-61.4932746887207,30.69400978088379,30.73370358457032,-41.87934112548828,155.99656677246094,-15.211872100258788,-54.85813522338867,39.99271011352539,1
-147.17024518875732,-66.5831069946289,108.83988189697266,20.695709243945316,-45.13104248046875,-74.32621765136719,112.04737377987061,-62.061954498291016,31.020322799682617,31.886970491308603,-43.173851013183594,157.46939086914062,-13.9283151620874,-55.05074691772461,40.454166412353516,1
-145.97793771652832,-66.8714599609375,108.09014892578125,21.117561355761723,-45.338558197021484,-75.1109848022461,111.643750198938,-62.15886306762695,31.78707504272461,31.881507844824228,-43.77080535888672,157.46109008789062,-14.264643668557127,-55.359519958496094,41.05787658691406,1
